"ID","psi50s","psi88s","cavslop","kStemXylem","kRoot","SLA","klatosa","iso","deltapsiww"
1,-1.78,-3.1,-3.59,1.9529968221795766,0.0004,27.1,8500,0.383,1.8
2,-4.47,-6.22,-6.03,0.3692106501863344,0.0004,12.9,2200,-0.02,0.8
3,-1.57,-1.59,-157.4,2.450942076712975,0.0004,29.900000000000002,10200,0.41400000000000003,1.9000000000000001
4,-3.0500000000000003,-4.74,-4.5200000000000005,0.7372162553313171,0.0004,17.5,3900,0.192,1.3
5,-2.47,-6.2,-2.16,1.0797210715486383,0.0004,20.8,5300,0.28,1.5
6,-2.19,-2.86,-7.46,1.3422734043126001,0.0004,22.900000000000002,6300,0.322,1.7000000000000002
7,-2.2,-3.8000000000000003,-3.65,1.3312560883642395,0.0004,22.8,6200,0.32,1.6
8,-2.75,-6.640000000000001,-2.2600000000000002,0.8890863269549563,0.0004,19.1,4500,0.23800000000000002,1.4000000000000001
9,-1.8,-2.13,-11.84,1.913916495127284,0.0004,26.8,8400,0.38,1.8
10,-2.21,-3.8200000000000003,-3.64,1.320378554219201,0.0004,22.700000000000003,6200,0.319,1.6
11,-2.16,-4.5600000000000005,-2.67,1.3761887851613681,0.0004,23.200000000000003,6400,0.326,1.7000000000000002
12,-1.84,-3.6,-2.97,1.8393093152212923,0.0004,26.3,8100,0.374,1.8
13,-1.01,-1.47,-5.3100000000000005,5.443934675233285,0.0004,42.7,19500,0.499,2.1
14,-3.92,-6.96,-3.47,0.46819893865711426,0.0004,14.3,2700,0.062,1.
15,-1.49,-3.52,-2.32,2.694159530600614,0.0004,31.200000000000003,11000,0.426,1.9000000000000001
16,-1.77,-1.97,-18.61,1.9730035667153514,0.0004,27.200000000000003,8600,0.384,1.8
17,-3.02,-6.19,-2.7800000000000002,0.7505179485376384,0.0004,17.7,3900,0.197,1.3
18,-2.2800000000000002,-5.7700000000000005,-2.15,1.2479549383010207,0.0004,22.200000000000003,5900,0.308,1.6
19,-3.14,-6.05,-3.04,0.6994337847326659,0.0004,17.1,3700,0.179,1.3
20,-4.86,-6.640000000000001,-6.38,0.31736038991914717,0.0004,12.100000000000001,2000,-0.079,0.7000000000000001
21,-2.98,-5.54,-3.21,0.7688415875126561,0.0004,17.900000000000002,4000,0.203,1.4000000000000001
22,-5.0200000000000005,-6.76,-6.7,0.29929786897623467,0.0004,11.700000000000001,1900,-0.10300000000000001,0.6000000000000001
23,-1.94,-2.12,-22.46,1.6713796611041358,0.0004,25.200000000000003,7500,0.359,1.7000000000000002
24,-2.99,-7.3,-2.23,0.764196064462066,0.0004,17.8,4000,0.202,1.4000000000000001
25,-3.79,-5.13,-6.59,0.49765424973263894,0.0004,14.700000000000001,2800,0.082,1.1
26,-2.5,-4.4,-3.52,1.0563953626386202,0.0004,20.6,5200,0.275,1.5
27,-2.45,-4.55,-3.22,1.0957189956252056,0.0004,20.900000000000002,5300,0.28200000000000003,1.6
28,-2.45,-4.2,-3.7,1.0957189956252056,0.0004,20.900000000000002,5300,0.28200000000000003,1.6
29,-2.6,-4.9,-3.14,0.9840379865712828,0.0004,19.900000000000002,4900,0.26,1.5
30,-1.1500000000000001,-2.1,-3.31,4.304508167615291,0.0004,38.5,16100,0.47800000000000004,2.
31,-1.6500000000000001,-3.6,-2.5500000000000003,2.240192824367811,0.0004,28.8,9500,0.402,1.9000000000000001
32,-1.8,-3.5,-3.,1.913916495127284,0.0004,26.8,8400,0.38,1.8
33,-2.5,-5.,-2.87,1.0563953626386202,0.0004,20.6,5200,0.275,1.5
34,-3.1,-5.55,-3.42,0.7158457718629413,0.0004,17.3,3800,0.185,1.3
35,-1.45,-2.75,-3.11,2.8301109505268087,0.0004,31.900000000000002,11500,0.432,1.9000000000000001
36,-1.75,-3.85,-2.5300000000000002,2.0139842000563126,0.0004,27.400000000000002,8700,0.388,1.8
37,-2.8000000000000003,-5.05,-3.38,0.860572161935121,0.0004,18.8,4400,0.23,1.4000000000000001
